Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2013,January,ALL India,,,Clothing and footwear,106.4,105.8,106.2,F
2013,February,ALL India,,,Clothing and footwear,107.0,106.4,106.8,F
2013,March,ALL India,,,Clothing and footwear,107.5,107.0,107.3,F
2013,April,ALL India,,,Clothing and footwear,108.0,107.7,107.9,F
2013,May,ALL India,,,Clothing and footwear,108.6,108.3,108.5,F
2013,June,ALL India,,,Clothing and footwear,109.5,108.9,109.3,F
2013,July,ALL India,,,Clothing and footwear,110.3,109.5,110.0,F
2013,August,ALL India,,,Clothing and footwear,111.1,110.2,110.7,F
2013,September,ALL India,,,Clothing and footwear,112.5,111.1,111.9,F
2013,October,ALL India,,,Clothing and footwear,113.4,112.0,112.8,F
2013,November,ALL India,,,Clothing and footwear,114.4,113.0,113.8,F
2013,December,ALL India,,,Clothing and footwear,115.5,113.7,114.8,F
2014,January,ALL India,,,Clothing and footwear,116.2,114.3,115.4,F
2014,February,ALL India,,,Clothing and footwear,116.7,114.7,115.9,F
2014,March,ALL India,,,Clothing and footwear,117.2,115.2,116.4,F
2014,April,ALL India,,,Clothing and footwear,117.8,115.7,117.0,F
2014,May,ALL India,,,Clothing and footwear,118.5,116.2,117.6,F
2014,June,ALL India,,,Clothing and footwear,119.3,116.7,118.3,F
2014,July,ALL India,,,Clothing and footwear,120.3,117.4,119.1,F
2014,August,ALL India,,,Clothing and footwear,120.7,117.9,119.6,F
2014,September,ALL India,,,Clothing and footwear,121.3,118.4,120.1,F
2014,October,ALL India,,,Clothing and footwear,122.3,118.9,121.0,F
2014,November,ALL India,,,Clothing and footwear,122.9,119.5,121.6,F
2014,December,ALL India,,,Clothing and footwear,123.3,120.0,122.0,F
2015,January,ALL India,,,Clothing and footwear,124.0,120.2,122.5,F
2015,February,ALL India,,,Clothing and footwear,125.0,120.6,123.3,F
2015,March,ALL India,,,Clothing and footwear,125.5,120.9,123.7,F
2015,April,ALL India,,,Clothing and footwear,126.0,121.3,124.1,F
2015,May,ALL India,,,Clothing and footwear,126.8,121.6,124.7,F
2015,June,ALL India,,,Clothing and footwear,128.0,122.3,125.7,F
2015,July,ALL India,,,Clothing and footwear,128.3,122.7,126.1,F
2015,August,ALL India,,,Clothing and footwear,129.0,122.9,126.6,F
2015,September,ALL India,,,Clothing and footwear,129.9,123.2,127.2,F
2015,October,ALL India,,,Clothing and footwear,130.6,123.6,127.8,F
2015,November,ALL India,,,Clothing and footwear,131.5,124.2,128.6,F
2015,December,ALL India,,,Clothing and footwear,131.9,124.5,129.0,F
2016,January,ALL India,,,Clothing and footwear,132.6,124.9,129.5,F
2016,February,ALL India,,,Clothing and footwear,133.4,125.3,130.2,F
2016,March,ALL India,,,Clothing and footwear,133.8,125.5,130.5,F
2016,April,ALL India,,,Clothing and footwear,134.4,125.8,131.0,F
2016,May,ALL India,,,Clothing and footwear,134.8,126.2,131.4,F
