Year,Month,State,Description,Rural,Urban,Combined,Status
2013,January,ALL India,Food and beverages,105.5,105.9,105.6,F
2013,January,Andaman and Nicobar Islands,Food and beverages,105.7,107.7,106.5,F
2013,January,Andhra Pradesh,Food and beverages,106.6,107.6,106.9,F
2013,February,ALL India,Food and beverages,106.3,107.2,106.6,F
2013,February,Andaman and Nicobar Islands,Food and beverages,105.9,103.4,104.9,F
2013,February,Andhra Pradesh,Food and beverages,108,109.6,108.5,F
2013,March,ALL India,Food and beverages,106.6,107.3,106.9,F
2013,March,Andaman and Nicobar Islands,Food and beverages,105.3,103.9,104.7,F
2013,March,Andhra Pradesh,Food and beverages,107.4,108.3,107.7,F
2013,April,ALL India,Food and beverages,107.1,108.8,107.7,F
2013,April,Andaman and Nicobar Islands,Food and beverages,105.4,103,104.4,F
2013,April,Andhra Pradesh,Food and beverages,108.8,110.4,109.3,F
2013,May,ALL India,Food and beverages,108.1,111.1,109.2,F
2013,May,Andaman and Nicobar Islands,Food and beverages,106.2,110.5,108,F
2013,May,Andhra Pradesh,Food and beverages,111.2,114.3,112.1,F
2013,June,ALL India,Food and beverages,110.6,115,112.2,F
2013,June,Andaman and Nicobar Islands,Food and beverages,108.1,119.8,112.9,F
2013,June,Andhra Pradesh,Food and beverages,115,120.1,116.5,F
2013,July,ALL India,Food and beverages,113.1,117.5,114.7,F
2013,July,Andaman and Nicobar Islands,Food and beverages,109.1,119.1,113.2,F
2013,July,Andhra Pradesh,Food and beverages,117.2,118.3,117.5,F
2013,August,ALL India,Food and beverages,114.9,119.6,116.6,F
2013,August,Andaman and Nicobar Islands,Food and beverages,111.6,117.9,114.2,F
2013,August,Andhra Pradesh,Food and beverages,119.3,120.9,119.8,F
2013,September,ALL India,Food and beverages,117.8,119.2,118.3,F
2013,September,Andaman and Nicobar Islands,Food and beverages,109.5,115.6,112,F
2013,September,Andhra Pradesh,Food and beverages,120.9,120.4,120.7,F
2013,October,ALL India,Food and beverages,119.8,120.8,120.2,F
2013,October,Andaman and Nicobar Islands,Food and beverages,111.8,118.3,114.5,F
2013,October,Andhra Pradesh,Food and beverages,121.3,119.3,120.7,F
2013,November,ALL India,Food and beverages,122.5,122.9,122.6,F
2013,November,Andaman and Nicobar Islands,Food and beverages,114.4,119,116.3,F
2013,November,Andhra Pradesh,Food and beverages,122.2,121.8,122.1,F
2013,December,ALL India,Food and beverages,118.7,117.8,118.4,F
2013,December,Andaman and Nicobar Islands,Food and beverages,115.4,122.2,118.2,F
2013,December,Andhra Pradesh,Food and beverages,120.6,118.4,119.9,F
2014,January,ALL India,Food and beverages,116,115.5,115.8,F
2014,January,Andaman and Nicobar Islands,Food and beverages,113.8,115.4,114.5,F
2014,January,Andhra Pradesh,Food and beverages,117.2,116,116.8,F
2014,February,ALL India,Food and beverages,115.3,115.2,115.3,F
2014,February,Andaman and Nicobar Islands,Food and beverages,111.4,113.4,112.2,F
2014,February,Andhra Pradesh,Food and beverages,117,114.6,116.3,F
2014,March,ALL India,Food and beverages,116.2,116,116.1,F
2014,March,Andaman and Nicobar Islands,Food and beverages,113.9,111.4,112.9,F
2014,March,Andhra Pradesh,Food and beverages,117,114.7,116.3,F
2014,April,ALL India,Food and beverages,117.2,118.2,117.6,F
2014,April,Andaman and Nicobar Islands,Food and beverages,115,112.9,114.1,F
2014,April,Andhra Pradesh,Food and beverages,117.5,117.2,117.4,F
2014,May,ALL India,Food and beverages,118.2,120,118.9,F
2014,May,Andaman and Nicobar Islands,Food and beverages,114.5,118.4,116.1,F
2014,May,Andhra Pradesh,Food and beverages,119.2,120,119.4,F
2014,June,ALL India,Food and beverages,119.5,122,120.4,F
2014,June,Andaman and Nicobar Islands,Food and beverages,117.9,119.4,118.5,F
2014,June,Andhra Pradesh,Food and beverages,120.6,122.6,121.2,F
2014,July,ALL India,Food and beverages,123.3,127.1,124.7,F
2014,July,Andaman and Nicobar Islands,Food and beverages,118,118.9,118.4,F
2014,July,Andhra Pradesh,Food and beverages,125.3,128,126.1,F
2014,August,ALL India,Food and beverages,125.3,128.9,126.6,F
2014,August,Andaman and Nicobar Islands,Food and beverages,120.3,122.5,121.2,F
2014,August,Andhra Pradesh,Food and beverages,126,129.2,127,F
2014,September,ALL India,Food and beverages,125.3,126.7,125.8,F
2014,September,Andaman and Nicobar Islands,Food and beverages,124.6,122.5,123.7,F
2014,September,Andhra Pradesh,Food and beverages,123.9,125.3,124.3,F
2014,October,ALL India,Food and beverages,125.1,125.8,125.4,F
2014,October,Andaman and Nicobar Islands,Food and beverages,124,124.3,124.1,F
2014,October,Andhra Pradesh,Food and beverages,123.3,123.9,123.5,F
2014,November,ALL India,Food and beverages,124.9,125.4,125.1,F
2014,November,Andaman and Nicobar Islands,Food and beverages,127.5,125.7,126.8,F
2014,November,Andhra Pradesh,Food and beverages,124.8,125.2,124.9,F
2014,December,ALL India,Food and beverages,123.3,124,123.6,F
2014,December,Andaman and Nicobar Islands,Food and beverages,127.7,123.2,125.8,F
2014,December,Andhra Pradesh,Food and beverages,124.4,123.8,124.2,F
2015,January,ALL India,Food and beverages,122.8,123.5,123.1,F
2015,January,Andaman and Nicobar Islands,Food and beverages,123.8,123.4,123.6,F
2015,January,Andhra Pradesh,Food and beverages,125.1,123.6,124.6,F
2015,February,ALL India,Food and beverages,122.8,123.7,123.1,F
2015,February,Andaman and Nicobar Islands,Food and beverages,122.5,121.8,122.2,F
2015,February,Andhra Pradesh,Food and beverages,125.7,123.5,125,F
2015,March,ALL India,Food and beverages,123.1,123.9,123.4,F
2015,March,Andaman and Nicobar Islands,Food and beverages,124.9,120.7,123.2,F
2015,March,Andhra Pradesh,Food and beverages,125.6,123.7,125,F
2015,April,ALL India,Food and beverages,123.6,124.6,124,F
2015,April,Andaman and Nicobar Islands,Food and beverages,123.7,121.9,123,F
2015,April,Andhra Pradesh,Food and beverages,126.8,124.5,126.1,F
2015,May,ALL India,Food and beverages,124.4,126.1,125,F
2015,May,Andaman and Nicobar Islands,Food and beverages,124.5,123.1,123.9,F
2015,May,Andhra Pradesh,Food and beverages,128.4,128.1,128.3,F
2015,June,ALL India,Food and beverages,126.6,128.5,127.3,F
2015,June,Andaman and Nicobar Islands,Food and beverages,128.2,125,126.9,F
2015,June,Andhra Pradesh,Food and beverages,132.2,132.9,132.4,F
2015,July,ALL India,Food and beverages,127.5,129.5,128.2,F
2015,July,Andaman and Nicobar Islands,Food and beverages,131.5,128.6,130.3,F
2015,July,Andhra Pradesh,Food and beverages,132.5,132.5,132.5,F
2015,August,ALL India,Food and beverages,129.8,131.1,130.3,F
2015,August,Andaman and Nicobar Islands,Food and beverages,133.3,129.7,131.8,F
2015,August,Andhra Pradesh,Food and beverages,135.1,132.4,134.3,F
2015,September,ALL India,Food and beverages,131,131.5,131.2,F
2015,September,Andaman and Nicobar Islands,Food and beverages,135.6,131,133.7,F
2015,September,Andhra Pradesh,Food and beverages,135.5,133.2,134.8,F
2015,October,ALL India,Food and beverages,131.8,132.6,132.1,F
2015,October,Andaman and Nicobar Islands,Food and beverages,143,132.5,138.7,F
2015,October,Andhra Pradesh,Food and beverages,136.6,135.8,136.4,F
2015,November,ALL India,Food and beverages,132.4,133.3,132.7,F
2015,November,Andaman and Nicobar Islands,Food and beverages,143,134.2,139.4,F
2015,November,Andhra Pradesh,Food and beverages,139.3,138,138.9,F
2015,December,ALL India,Food and beverages,131.4,131.5,131.4,F
2015,December,Andaman and Nicobar Islands,Food and beverages,144.5,135.4,140.7,F
2015,December,Andhra Pradesh,Food and beverages,139.9,137.7,139.2,F
2016,January,ALL India,Food and beverages,131.4,131.2,131.3,F
2016,January,Andaman and Nicobar Islands,Food and beverages,141.5,131,137.2,F
2016,January,Andhra Pradesh,Food and beverages,140.8,137.5,139.8,F
2016,February,ALL India,Food and beverages,130.3,129.1,129.9,F
2016,February,Andaman and Nicobar Islands,Food and beverages,143.1,131.7,138.4,F
2016,February,Andhra Pradesh,Food and beverages,138.1,133.2,136.6,F
2016,March,ALL India,Food and beverages,130.4,128.9,129.8,F
2016,March,Andaman and Nicobar Islands,Food and beverages,143,125.9,135.9,F
2016,March,Andhra Pradesh,Food and beverages,138,132.3,136.3,F
2016,April,ALL India,Food and beverages,131.8,131.8,131.8,F
2016,April,Andaman and Nicobar Islands,Food and beverages,142.8,128.3,136.8,F
2016,April,Andhra Pradesh,Food and beverages,139.1,136.1,138.2,F
2016,May,ALL India,Food and beverages,133.6,134.6,134,F
2016,May,Andaman and Nicobar Islands,Food and beverages,139.5,138.8,139.2,F
2016,May,Andhra Pradesh,Food and beverages,143.9,142.2,143.4,F
2016,June,ALL India,Food and beverages,136,138.2,136.8,F
2016,June,Andaman and Nicobar Islands,Food and beverages,144.7,143,144,F
2016,June,Andhra Pradesh,Food and beverages,146,145.3,145.8,F
2016,July,ALL India,Food and beverages,137.6,139.8,138.4,F
2016,July,Andaman and Nicobar Islands,Food and beverages,146.6,137.1,142.7,F
2016,July,Andhra Pradesh,Food and beverages,145.2,143,144.5,F
2016,August,ALL India,Food and beverages,138,137.6,137.9,F
2016,August,Andaman and Nicobar Islands,Food and beverages,145.7,134.9,141.2,F
2016,August,Andhra Pradesh,Food and beverages,144.8,140.7,143.6,F
2016,September,ALL India,Food and beverages,137.2,135.7,136.6,F
2016,September,Andaman and Nicobar Islands,Food and beverages,144.5,135.4,140.7,F
2016,September,Andhra Pradesh,Food and beverages,144.6,137.3,142.4,F
2016,October,ALL India,Food and beverages,137.4,136.3,137,F
2016,October,Andaman and Nicobar Islands,Food and beverages,147.3,136.6,142.9,F
2016,October,Andhra Pradesh,Food and beverages,144.4,138.4,142.6,F
2016,November,ALL India,Food and beverages,136.6,135.2,136.1,F
2016,November,Andaman and Nicobar Islands,Food and beverages,149.1,136.2,143.8,F
2016,November,Andhra Pradesh,Food and beverages,142.2,136.9,140.6,F
2016,December,ALL India,Food and beverages,134.7,132.8,134,F
2016,December,Andaman and Nicobar Islands,Food and beverages,151.9,140.4,147.2,F
2016,December,Andhra Pradesh,Food and beverages,140.7,134.9,138.9,F
2017,January,ALL India,Food and beverages,133.7,132,133.1,F
2017,January,Andaman and Nicobar Islands,Food and beverages,153.3,141.9,148.6,F
2017,January,Andhra Pradesh,Food and beverages,140.2,134.2,138.4,F
2017,February,ALL India,Food and beverages,133.6,132.1,133,F
2017,February,Andaman and Nicobar Islands,Food and beverages,154,137.4,147.2,F
2017,February,Andhra Pradesh,Food and beverages,140.9,134.5,139,F
2017,March,ALL India,Food and beverages,133.4,132.6,133.1,F
2017,March,Andaman and Nicobar Islands,Food and beverages,150.1,132.6,142.9,F
2017,March,Andhra Pradesh,Food and beverages,139.7,134.2,138,F
2017,April,ALL India,Food and beverages,133.5,133.4,133.5,F
2017,April,Andaman and Nicobar Islands,Food and beverages,148.3,130.1,140.8,F
2017,April,Andhra Pradesh,Food and beverages,140.1,132.9,137.9,F
2017,May,ALL India,Food and beverages,133.8,133.6,133.7,F
2017,May,Andaman and Nicobar Islands,Food and beverages,149.6,130,141.5,F
2017,May,Andhra Pradesh,Food and beverages,140.8,134.2,138.8,F
2017,June,ALL India,Food and beverages,134.9,135.7,135.2,F
2017,June,Andaman and Nicobar Islands,Food and beverages,150.5,133.4,143.4,F
2017,June,Andhra Pradesh,Food and beverages,143.4,137.2,141.5,F
2017,July,ALL India,Food and beverages,138.5,139.8,139,F
2017,July,Andaman and Nicobar Islands,Food and beverages,152.6,137.7,146.5,F
2017,July,Andhra Pradesh,Food and beverages,147.8,140,145.4,F
