Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2013,January,ALL India,,,Fuel and light,105.5,105.4,105.5,F
2013,February,ALL India,,,Fuel and light,106.2,105.7,106.0,F
2013,March,ALL India,,,Fuel and light,106.1,106.0,106.1,F
2013,April,ALL India,,,Fuel and light,106.5,106.4,106.5,F
2013,May,ALL India,,,Fuel and light,107.5,107.2,107.4,F
2013,June,ALL India,,,Fuel and light,108.5,108.0,108.3,F
2013,July,ALL India,,,Fuel and light,109.5,108.6,109.2,F
2013,August,ALL India,,,Fuel and light,109.9,109.3,109.7,F
2013,September,ALL India,,,Fuel and light,111.1,109.5,110.5,F
2013,October,ALL India,,,Fuel and light,111.6,109.7,110.9,F
2013,November,ALL India,,,Fuel and light,112.6,110.0,111.6,F
2013,December,ALL India,,,Fuel and light,112.8,110.4,111.9,F
2014,January,ALL India,,,Fuel and light,113.0,111.0,112.2,F
2014,February,ALL India,,,Fuel and light,113.2,111.1,112.4,F
2014,March,ALL India,,,Fuel and light,113.4,110.9,112.5,F
2014,April,ALL India,,,Fuel and light,113.4,110.9,112.5,F
2014,May,ALL India,,,Fuel and light,113.4,111.1,112.5,F
2014,June,ALL India,,,Fuel and light,114.4,111.2,113.2,F
2014,July,ALL India,,,Fuel and light,115.3,111.6,113.9,F
2014,August,ALL India,,,Fuel and light,115.4,111.8,114.0,F
2014,September,ALL India,,,Fuel and light,115.8,111.8,114.3,F
2014,October,ALL India,,,Fuel and light,116.4,112.0,114.7,F
2014,November,ALL India,,,Fuel and light,117.3,112.6,115.5,F
2014,December,ALL India,,,Fuel and light,117.4,113.0,115.7,F
2015,January,ALL India,,,Fuel and light,118.4,113.4,116.5,F
2015,February,ALL India,,,Fuel and light,120.0,114.0,117.7,F
2015,March,ALL India,,,Fuel and light,120.6,114.4,118.3,F
2015,April,ALL India,,,Fuel and light,121.2,114.7,118.7,F
2015,May,ALL India,,,Fuel and light,121.9,114.9,119.2,F
2015,June,ALL India,,,Fuel and light,122.6,115.1,119.8,F
2015,July,ALL India,,,Fuel and light,123.0,115.3,120.1,F
2015,August,ALL India,,,Fuel and light,123.8,115.3,120.6,F
2015,September,ALL India,,,Fuel and light,123.7,115.1,120.4,F
2015,October,ALL India,,,Fuel and light,124.4,114.9,120.8,F
2015,November,ALL India,,,Fuel and light,125.6,115.1,121.6,F
2015,December,ALL India,,,Fuel and light,125.7,116.0,122.0,F
2016,January,ALL India,,,Fuel and light,126.2,116.9,122.7,F
2016,February,ALL India,,,Fuel and light,127.5,116.0,123.1,F
2016,March,ALL India,,,Fuel and light,127.0,114.8,122.4,F
2016,April,ALL India,,,Fuel and light,127.0,114.6,122.3,F
2016,May,ALL India,,,Fuel and light,127.4,115.0,122.7,F
