Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status,
2013,January,ALL India,,,Miscellaneous,104.0,103.7,103.9,F,
2013,February,ALL India,,,Miscellaneous,104.4,104.3,104.4,F,
2013,March,ALL India,,,Miscellaneous,104.6,104.9,104.7,F,
2013,April,ALL India,,,Miscellaneous,104.6,105.1,104.8,F,
2013,May,ALL India,,,Miscellaneous,104.8,104.9,104.8,F,
2013,June,ALL India,,,Miscellaneous,105.5,106.1,105.8,F,
2013,July,ALL India,,,Miscellaneous,106.5,107.3,106.9,F,
2013,August,ALL India,,,Miscellaneous,107.5,108.3,107.9,F,
2013,September,ALL India,,,Miscellaneous,108.7,109.4,109.0,F,
2013,October,ALL India,,,Miscellaneous,109.1,109.4,109.2,F,
2013,November,ALL India,,,Miscellaneous,109.8,109.6,109.7,F,
2013,December,ALL India,,,Miscellaneous,110.1,109.8,110.0,F,
2014,January,ALL India,,,Miscellaneous,110.6,110.5,110.6,F,
2014,February,ALL India,,,Miscellaneous,110.9,111.0,110.9,F,
2014,March,ALL India,,,Miscellaneous,111.3,111.4,111.3,F,
2014,April,ALL India,,,Miscellaneous,111.5,111.4,111.5,F,
2014,May,ALL India,,,Miscellaneous,111.8,111.7,111.8,F,
2014,June,ALL India,,,Miscellaneous,112.3,112.2,112.3,F,
2014,July,ALL India,,,Miscellaneous,113.1,113.5,113.3,F,
2014,August,ALL India,,,Miscellaneous,113.5,113.9,113.7,F,
2014,September,ALL India,,,Miscellaneous,113.7,113.6,113.7,F,
2014,October,ALL India,,,Miscellaneous,114.0,113.7,113.9,F,
2014,November,ALL India,,,Miscellaneous,114.1,113.4,113.8,F,
2014,December,ALL India,,,Miscellaneous,114.2,113.4,113.8,F,
2015,January,ALL India,,,Miscellaneous,114.5,113.4,114.0,F,
2015,February,ALL India,,,Miscellaneous,115.0,113.2,114.1,F,
2015,March,ALL India,,,Miscellaneous,115.5,113.8,114.7,F,
2015,April,ALL India,,,Miscellaneous,116.0,114.2,115.1,F,
2015,May,ALL India,,,Miscellaneous,116.9,115.2,116.1,F,
2015,June,ALL India,,,Miscellaneous,117.9,116.0,117.0,F,
2015,July,ALL India,,,Miscellaneous,118.1,116.3,117.2,F,
2015,August,ALL India,,,Miscellaneous,118.2,116.2,117.2,F,
2015,September,ALL India,,,Miscellaneous,118.8,116.2,117.5,F,
2015,October,ALL India,,,Miscellaneous,119.2,116.5,117.9,F,
2015,November,ALL India,,,Miscellaneous,119.6,116.6,118.1,F,
2015,December,ALL India,,,Miscellaneous,119.8,116.7,118.3,F,
2016,January,ALL India,,,Miscellaneous,120.1,116.8,118.5,F,
2016,February,ALL India,,,Miscellaneous,120.9,117.2,119.1,F,
2016,March,ALL India,,,Miscellaneous,121.1,117.3,119.3,F,
2016,April,ALL India,,,Miscellaneous,121.7,118.2,120.0,F,
2016,May,ALL India,,,Miscellaneous,122.5,118.7,120.7,F,
2016,June,ALL India,,,Miscellaneous,123.3,119.6,121.5,F,
2016,July,ALL India,,,Miscellaneous,123.8,119.9,121.9,F,
2016,August,ALL India,,,Miscellaneous,124.2,119.9,122.1,F,
2016,September,ALL India,,,Miscellaneous,124.9,120.5,122.8,F,
2016,October,ALL India,,,Miscellaneous,125.7,120.9,123.4,F,
2016,November,ALL India,,,Miscellaneous,126.1,121.3,123.8,F,
2016,December,ALL India,,,Miscellaneous,126.3,121.4,123.9,F,
2017,January,ALL India,,,Miscellaneous,126.6,122.1,124.4,F,
2017,February,ALL India,,,Miscellaneous,127.0,122.4,124.8,F,
2017,March,ALL India,,,Miscellaneous,127.4,122.6,125.1,F,
2017,April,ALL India,,,Miscellaneous,127.5,122.5,125.1,F,
2017,May,ALL India,,,Miscellaneous,127.9,122.6,125.3,F,
2017,June,ALL India,,,Miscellaneous,128.1,122.7,125.5,F,
2017,July,ALL India,,,Miscellaneous,128.6,123.0,125.9,F,
2017,August,ALL India,,,Miscellaneous,129.7,123.8,126.8,F,
2017,September,ALL India,,,Miscellaneous,130.3,124.5,127.5,F,
2017,October,ALL India,,,Miscellaneous,130.7,124.5,127.7,F,
2017,November,ALL India,,,Miscellaneous,131.7,124.9,128.4,F,
2017,December,ALL India,,,Miscellaneous,131.9,125.1,128.6,F,
2018,January,ALL India,,,Miscellaneous,132.3,125.8,129.1,F,
2018,February,ALL India,,,Miscellaneous,132.5,126.5,129.6,F,
2018,March,ALL India,,,Miscellaneous,133.3,127.1,130.3,F,
2018,April,ALL India,,,Miscellaneous,134.2,128.2,131.3,F,
2018,May,ALL India,,,Miscellaneous,135.1,128.9,132.1,F,
2018,June,ALL India,,,Miscellaneous,135.6,129.5,132.6,F,
2018,July,ALL India,,,Miscellaneous,136.0,130.2,133.2,F,
2018,August,ALL India,,,Miscellaneous,136.6,131.0,133.9,F,
2018,September,ALL India,,,Miscellaneous,137.4,131.9,134.7,F,
2018,October,ALL India,,,Miscellaneous,139.8,132.5,136.3,F,
2018,November,ALL India,,,Miscellaneous,140.1,132.2,136.3,F,
2018,December,ALL India,,,Miscellaneous,141.6,131.7,136.8,F,
2019,January,ALL India,,,Miscellaneous,141.7,131.8,136.9,F,
2019,February,ALL India,,,Miscellaneous,142.2,132.4,137.4,F,
2019,March,ALL India,,,Miscellaneous,142.4,132.8,137.7,F,
2019,April,ALL India,,,Miscellaneous,142.6,133.1,138.0,F,
2019,May,ALL India,,,Miscellaneous,142.9,133.3,138.2,F,
2019,June,ALL India,,,Miscellaneous,143.3,133.6,138.6,F,
2019,July,ALL India,,,Miscellaneous,144.2,134.5,139.5,F,
2019,August,ALL India,,,Miscellaneous,144.9,135.3,140.2,F,
2019,September,ALL India,,,Miscellaneous,145.4,135.7,140.7,F,
2019,October,ALL India,,,Miscellaneous,145.7,136.0,141.0,F,
2019,November,ALL India,,,Miscellaneous,146.1,136.3,141.3,F,
2019,December,ALL India,,,Miscellaneous,147.1,137.7,142.5,F,
2020,January,ALL India,,,Miscellaneous,148.1,138.4,143.4,F,
2020,February,ALL India,,,Miscellaneous,148.4,138.4,143.6,F,
2020,March,ALL India,,,Miscellaneous,148.6,138.7,143.8,F,
2020,April,ALL India,,,Miscellaneous,148.4,142.5,145.5,F*,
2020,May,ALL India,,,Miscellaneous,149.2,143.0,146.2,F*,
2020,June,ALL India,,,Miscellaneous,151.7,142.0,147.0,F,
2020,July,ALL India,,,Miscellaneous,153.0,144.8,149.0,F,
2020,August,ALL India,,,Miscellaneous,153.7,146.0,150.0,F,
2020,September,ALL India,,,Miscellaneous,154.3,146.2,150.4,F,
2020,October,ALL India,,,Miscellaneous,154.5,146.6,150.7,F,
2020,November,ALL India,,,Miscellaneous,155.2,146.9,151.2,F,
2020,December,ALL India,,,Miscellaneous,155.9,147.6,151.9,F,
2021,January,ALL India,,,Miscellaneous,156.7,148.5,152.7,F,
2021,February,ALL India,,,Miscellaneous,157.2,149.3,153.4,F,
2021,March,ALL India,,,Miscellaneous,157.3,150.0,153.8,F,
2021,April,ALL India,,,Miscellaneous,158.0,150.5,154.4,F,
2021,May,ALL India,,,Miscellaneous,161.1,152.3,156.8,F,
2021,June,ALL India,,,Miscellaneous,161.5,153.4,157.6,F,
2021,July,ALL India,,,Miscellaneous,162.8,155.0,159.0,F,
2021,August,ALL India,,,Miscellaneous,163.3,155.6,159.6,F,
2021,September,ALL India,,,Miscellaneous,163.8,156.0,160.0,F,
2021,October,ALL India,,,Miscellaneous,164.7,157.0,161.0,F,
2021,November,ALL India,,,Miscellaneous,165.2,157.3,161.4,F,
2021,December,ALL India,,,Miscellaneous,166.0,157.8,162.0,F,
2022,January,ALL India,,,Miscellaneous,166.6,158.6,162.7,F,
2022,February,ALL India,,,Miscellaneous,167.3,159.4,163.5,F,
2022,March,ALL India,,,Miscellaneous,168.3,160.6,164.6,F,
2022,April,ALL India,,,Miscellaneous,170.2,163.1,166.8,F,
2022,May,ALL India,,,Miscellaneous,170.9,163.8,167.5,F,
2022,June,ALL India,,,Miscellaneous,171.0,163.8,167.5,F,
2022,July,ALL India,,,Miscellaneous,171.8,164.7,168.4,F,
2022,August,ALL India,,,Miscellaneous,172.6,165.4,169.1,F,
2022,September,ALL India,,,Miscellaneous,173.1,166.1,169.7,F,
2022,October,ALL India,,,Miscellaneous,173.9,166.8,170.5,F,
2022,November,ALL India,,,Miscellaneous,174.6,167.4,171.1,F,
2022,December,ALL India,,,Miscellaneous,175.5,168.2,172.0,F,
2023,January,ALL India,,,Miscellaneous,176.5,168.9,172.8,F,
2023,February,ALL India,,,Miscellaneous,177.3,169.5,173.5,F,
2023,March,ALL India,,,Miscellaneous,177.9,170.0,174.1,F,
2023,April,ALL India,,,Miscellaneous,178.9,170.9,175.0,F,
2023,May,ALL India,,,Miscellaneous,179.5,171.6,175.7,F,
