Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status
2013,January,ALL India,,,Pan; tobacco; and intoxicants,105.1,105.2,105.1,F
2013,February,ALL India,,,Pan; tobacco; and intoxicants,105.6,106.0,105.7,F
2013,March,ALL India,,,Pan; tobacco; and intoxicants,106.5,106.8,106.6,F
2013,April,ALL India,,,Pan; tobacco; and intoxicants,107.1,108.5,107.5,F
2013,May,ALL India,,,Pan; tobacco; and intoxicants,108.1,109.8,108.6,F
2013,June,ALL India,,,Pan; tobacco; and intoxicants,109.0,110.9,109.5,F
2013,July,ALL India,,,Pan; tobacco; and intoxicants,109.8,111.7,110.3,F
2013,August,ALL India,,,Pan; tobacco; and intoxicants,110.7,112.4,111.2,F
2013,September,ALL India,,,Pan; tobacco; and intoxicants,111.7,112.9,112.0,F
2013,October,ALL India,,,Pan; tobacco; and intoxicants,112.2,113.5,112.5,F
2013,November,ALL India,,,Pan; tobacco; and intoxicants,112.8,114.1,113.1,F
2013,December,ALL India,,,Pan; tobacco; and intoxicants,113.6,115.0,114.0,F
2014,January,ALL India,,,Pan; tobacco; and intoxicants,114.0,115.7,114.5,F
2014,February,ALL India,,,Pan; tobacco; and intoxicants,114.2,116.2,114.7,F
2014,March,ALL India,,,Pan; tobacco; and intoxicants,114.6,116.7,115.2,F
2014,April,ALL India,,,Pan; tobacco; and intoxicants,115.4,117.6,116.0,F
2014,May,ALL India,,,Pan; tobacco; and intoxicants,116.3,118.3,116.8,F
2014,June,ALL India,,,Pan; tobacco; and intoxicants,117.3,119.0,117.8,F
2014,July,ALL India,,,Pan; tobacco; and intoxicants,118.0,121.0,118.8,F
2014,August,ALL India,,,Pan; tobacco; and intoxicants,118.8,123.0,119.9,F
2014,September,ALL India,,,Pan; tobacco; and intoxicants,119.5,124.3,120.8,F
2014,October,ALL India,,,Pan; tobacco; and intoxicants,120.0,124.3,121.1,F
2014,November,ALL India,,,Pan; tobacco; and intoxicants,120.8,125.8,122.1,F
2014,December,ALL India,,,Pan; tobacco; and intoxicants,121.7,126.4,123.0,F
2015,January,ALL India,,,Pan; tobacco; and intoxicants,122.7,127.4,124.0,F
2015,February,ALL India,,,Pan; tobacco; and intoxicants,124.2,128.1,125.2,F
2015,March,ALL India,,,Pan; tobacco; and intoxicants,124.7,128.8,125.8,F
2015,April,ALL India,,,Pan; tobacco; and intoxicants,125.7,130.1,126.9,F
2015,May,ALL India,,,Pan; tobacco; and intoxicants,126.7,131.3,127.9,F
2015,June,ALL India,,,Pan; tobacco; and intoxicants,128.2,132.1,129.2,F
2015,July,ALL India,,,Pan; tobacco; and intoxicants,129.4,133.1,130.4,F
2015,August,ALL India,,,Pan; tobacco; and intoxicants,130.1,134.2,131.2,F
2015,September,ALL India,,,Pan; tobacco; and intoxicants,131.0,134.7,132.0,F
2015,October,ALL India,,,Pan; tobacco; and intoxicants,131.5,135.3,132.5,F
2015,November,ALL India,,,Pan; tobacco; and intoxicants,132.2,137.6,133.6,F
2015,December,ALL India,,,Pan; tobacco; and intoxicants,133.1,138.2,134.5,F
2016,January,ALL India,,,Pan; tobacco; and intoxicants,133.6,139.5,135.2,F
2016,February,ALL India,,,Pan; tobacco; and intoxicants,134.4,140.0,135.9,F
2016,March,ALL India,,,Pan; tobacco; and intoxicants,135.0,140.6,136.5,F
